	D3T0_sorted	D3T3_sorted	D3T7_sorted	D3T14_sorted	D3T0_unsorted	D3T3_unsorted	D3T7_unsorted	D3T14_unsorted
TUB	8	6	5	15	4	5	4	12
TUBA1A	7003	590	990	876	12698	2493	2346	1957
TUBA1B	5692	430	828	736	9665	1869	1804	1603
TUBA1C	3299	280	556	538	5634	1035	1075	969
TUBA3C	1	0	0	0	1	0	0	0
TUBA3D	3	0	0	1	10	1	2	0
TUBA3E	1	0	1	0	2	3	1	1
TUBA3FP	11	16	15	30	21	6	10	3
TUBA4A	16	2	2	5	40	3	4	5
TUBA4B	71	10	18	17	101	16	19	14
TUBA8	10	1	1	5	3	3	7	2
TUBAL3	1	0	1	0	0	0	0	0
TUBB	3472	396	764	737	6077	1933	1987	1761
TUBB1	4	0	0	1	0	0	1	2
TUBB2A	304	20	49	52	321	97	115	139
TUBB2B	267	23	49	51	304	81	67	106
TUBB3	430	37	76	76	521	115	148	173
TUBB4A	162	14	34	48	178	53	58	73
TUBB4B	524	64	91	128	805	212	213	253
TUBB6	490	69	100	111	834	208	247	243
TUBB8	16	0	0	7	7	3	6	7
TUBBP5	11	1	1	6	9	0	2	4
TUBD1	27	23	28	26	29	44	37	21
TUBE1	69	11	20	17	59	33	22	37
TUBG1	130	30	45	70	207	134	84	114
TUBG2	47	27	22	48	76	78	32	44
TUBGCP2	149	41	54	65	218	125	90	121
TUBGCP3	14	6	4	8	17	14	7	11
TUBGCP4	35	27	51	22	29	35	28	11
TUBGCP5	28	35	34	46	30	31	26	43
TUBGCP6	15	11	11	13	13	25	5	11
TUFM	283	132	165	167	451	409	273	365
TUFT1	52	20	39	21	51	8	15	14
TUG1	93	51	50	35	66	38	38	47
TULP1	0	0	0	0	0	1	0	0
TULP2	0	0	1	0	0	0	1	0
TULP3	67	16	28	22	91	61	30	44
TULP4	70	24	52	31	51	56	38	45
TUSC1	13	5	6	7	16	9	15	13
TUSC2	34	12	11	7	39	23	25	37
TUSC3	191	43	39	53	225	87	56	70
TUSC5	0	0	9	6	0	0	5	34
TUSC7	0	0	0	0	0	0	0	0
TUT1	10	4	3	14	10	13	8	17
TVP23A	32	8	17	18	9	11	8	13
TVP23B	72	29	53	50	54	53	51	76
TVP23C	130	76	97	101	101	77	52	88
TVP23C-CDRT4	18	6	13	10	27	20	6	11
TWF1	219	70	70	80	164	184	112	138
TWF2	57	12	14	23	63	42	20	20
TWIST1	25	23	22	36	18	38	33	39
TWIST2	17	17	12	15	9	20	15	26
TWISTNB	118	57	116	117	207	184	178	227
TWSG1	94	41	68	58	92	81	74	65
TXK	0	0	0	0	0	0	0	0
TXLNA	78	16	32	21	79	61	52	50
TXLNB	1	2	0	0	8	0	1	0
TXLNG	174	48	110	178	301	280	297	452
TXLNG2P	15	2	13	11	9	8	9	20
TXN	2041	969	981	826	1788	2145	1688	1271
TXN2	280	110	131	164	441	320	308	332
TXNDC11	5	6	4	5	8	7	5	2
TXNDC12	242	90	87	147	338	376	221	261
TXNDC15	157	49	100	71	103	104	106	91
TXNDC16	2	4	2	3	1	9	10	4
TXNDC17	873	169	267	299	866	512	595	550
TXNDC2	0	0	2	0	0	1	0	0
TXNDC5	215	76	104	95	105	207	102	152
TXNDC8	0	0	0	0	0	0	0	0
TXNDC9	235	94	98	88	310	230	188	159
TXNIP	368	370	433	475	540	1118	680	834
TXNL1	348	61	82	117	630	274	179	247
TXNL4A	48	11	15	30	67	59	32	40
TXNL4B	46	39	36	31	44	29	30	39
TXNRD1	443	357	476	409	421	960	658	675
TXNRD2	32	5	8	12	25	12	11	16
TXNRD3	0	3	6	2	2	3	2	6
TXNRD3NB	0	0	1	0	3	1	0	3
TYK2	18	8	17	11	22	20	22	14
TYMP	9	0	2	1	3	0	1	2
TYMS	4	0	2	3	1	5	1	0
TYR	0	0	0	0	0	0	0	0
TYRO3	6	0	1	1	6	0	1	5
TYRO3P	0	0	1	0	0	0	0	0
TYROBP	0	0	0	0	0	0	0	0
TYRP1	0	0	0	0	0	0	0	0
TYSND1	9	11	7	10	5	8	4	13
TYW1	66	21	63	65	68	90	48	80
TYW1B	60	16	56	46	28	71	36	56
TYW3	122	40	51	56	128	140	95	121
TYW5	36	32	57	47	19	25	17	23
U2AF1	19	3	14	7	20	10	15	10
U2AF1L4	34	7	10	26	28	30	21	19
U2AF2	20	2	6	2	39	26	17	23
U2SURP	339	160	225	179	413	292	215	213
UACA	237	56	102	93	325	116	102	115
UAP1	158	42	61	70	155	126	80	112
UAP1L1	11	13	13	4	9	9	9	8
UBA1	85	30	39	39	84	66	39	37
UBA2	33	19	23	13	15	28	13	19
UBA3	115	52	62	72	134	145	92	116
UBA5	78	22	21	32	98	75	54	50
UBA52	4102	1901	3039	2935	5547	6813	5719	5879
UBA6	89	33	28	23	80	39	14	36
UBA7	55	14	13	30	126	71	30	42
UBAC1	39	13	37	39	39	53	44	54
UBAC2	74	50	64	62	167	227	95	102
UBAC2-AS1	1	1	1	7	4	7	7	8
UBALD1	2	4	4	4	0	3	2	1
UBALD2	5	8	9	2	1	5	4	2
UBAP1	41	19	27	25	47	45	37	39
UBAP1L	1	0	0	0	0	1	1	1
UBAP2	36	21	27	17	47	38	35	30
UBAP2L	65	24	50	32	86	56	39	43
UBASH3A	0	0	0	0	0	0	0	0
UBASH3B	18	17	21	21	16	8	5	9
UBB	2873	857	1123	1331	6231	3459	2797	3709
UBC	4110	1384	2073	2373	8429	6830	4537	5695
UBD	0	0	0	0	0	0	0	0
UBE2A	316	89	99	109	330	267	164	230
UBE2B	172	62	98	88	187	203	143	194
UBE2C	72	0	2	1	58	0	1	2
UBE2D1	54	15	24	33	42	67	34	48
UBE2D2	54	16	27	22	53	52	32	38
UBE2D3	750	147	222	253	1197	684	460	548
UBE2D4	28	26	41	26	40	25	23	47
UBE2DNL	0	0	0	0	0	0	0	0
UBE2E1	22	50	30	48	42	26	21	25
UBE2E2	80	16	17	28	88	41	36	34
UBE2E3	67	33	17	22	88	64	49	50
UBE2F	126	33	42	39	167	90	79	111
UBE2F-SCLY	13	9	9	6	20	9	10	13
UBE2G1	36	20	21	34	25	28	16	19
UBE2G2	167	133	195	189	153	255	175	220
UBE2H	100	60	75	82	129	130	102	118
UBE2I	173	36	56	52	154	114	149	120
UBE2J1	78	24	27	33	81	43	36	53
UBE2J2	18	11	3	16	18	9	11	17
UBE2K	245	52	102	84	264	158	146	211
UBE2L3	588	175	232	254	771	616	506	570
UBE2L6	192	75	73	89	382	317	178	190
UBE2M	3	2	1	0	3	2	0	1
UBE2MP1	1	1	0	0	0	0	0	0
UBE2N	242	62	117	126	349	209	173	202
UBE2NL	33	8	16	24	15	14	9	23
UBE2O	6	4	8	2	8	17	4	2
UBE2Q1	35	15	14	11	26	25	26	14
UBE2Q2	41	21	38	33	35	46	22	30
UBE2Q2P1	45	52	100	74	25	45	30	38
UBE2Q2P2	11	2	15	10	5	8	2	4
UBE2Q2P3	13	9	20	16	14	10	5	13
UBE2QL1	1	0	0	0	0	0	2	1
UBE2R2	74	31	32	33	99	74	56	64
UBE2S	5	0	1	0	0	1	1	1
UBE2T	56	8	12	10	52	20	23	34
UBE2U	0	0	0	0	0	0	0	0
UBE2V1	117	42	60	48	39	51	42	60
UBE2V2	387	119	101	156	394	300	241	301
UBE2W	128	72	90	91	119	103	75	107
UBE2Z	43	22	17	23	29	33	20	21
UBE3A	113	42	31	58	141	72	43	53
UBE3B	79	41	50	38	83	77	51	50
UBE3C	39	12	22	15	8	14	9	12
UBE3D	9	4	9	5	13	15	11	17
UBE4A	129	75	109	89	135	132	107	114
UBE4B	30	12	23	20	13	15	7	19
UBFD1	102	25	71	59	166	104	84	106
UBIAD1	72	63	110	68	65	59	41	64
UBL3	111	22	25	45	120	91	41	52
UBL4A	55	8	19	24	88	51	39	35
UBL4B	0	0	0	0	0	0	0	0
UBL5	702	294	424	410	712	682	808	684
UBL7	139	47	34	38	298	232	125	116
UBL7-AS1	35	38	48	34	23	16	22	26
UBLCP1	78	22	41	48	76	66	35	48
UBN1	61	22	27	37	79	73	54	58
UBN2	46	67	107	56	26	28	36	20
UBOX5	26	27	57	37	15	14	10	12
UBOX5-AS1	1	0	1	4	0	0	0	1
UBP1	29	9	7	5	10	3	9	12
UBQLN1	106	29	41	38	179	76	67	70
UBQLN2	33	4	9	12	46	37	3	15
UBQLN3	0	0	0	0	0	0	0	0
UBQLN4	6	5	2	4	3	6	2	3
UBQLNL	0	1	0	0	2	1	0	0
UBR1	70	35	62	31	84	51	40	67
UBR2	104	64	85	70	96	100	51	79
UBR3	27	29	36	23	36	15	16	24
UBR4	273	157	249	201	298	317	249	252
UBR5	70	47	59	43	46	50	40	41
UBR7	26	13	9	9	29	41	16	22
UBTD1	20	2	9	5	11	18	8	12
UBTD2	19	8	8	5	11	12	7	9
UBTF	61	16	39	35	120	58	66	51
UBTFL1	0	0	0	0	0	0	0	0
UBXN1	167	80	109	138	291	320	186	241
UBXN10	1	0	0	0	0	0	0	0
UBXN11	1	1	0	3	0	1	0	0
UBXN2A	53	26	34	50	41	61	46	62
UBXN2B	25	14	19	15	19	15	5	20
UBXN4	364	142	196	175	479	409	267	351
UBXN6	175	40	77	75	245	239	130	167
UBXN7	57	23	43	28	31	30	12	29
UBXN8	47	22	16	26	64	35	29	47
UCA1	5	1	0	1	0	1	2	0
UCHL1	1238	71	137	130	1197	309	338	323
UCHL1-AS1	2	0	0	0	0	0	0	0
UCHL3	160	19	25	43	223	97	104	101
UCHL5	85	27	45	44	89	52	67	81
UCK1	37	9	17	20	56	71	27	50
UCK2	90	21	25	30	160	41	51	53
UCKL1	16	13	34	17	7	16	22	17
UCKL1-AS1	9	29	31	29	10	7	5	9
UCMA	0	0	0	0	0	0	0	0
UCN	0	0	0	0	0	0	0	0
UCN2	1	1	0	0	3	1	0	1
UCN3	0	0	0	0	0	0	0	0
UCP1	0	0	0	0	0	0	0	0
UCP2	17	7	51	164	12	80	177	481
UCP3	1	0	0	0	0	0	0	0
UEVLD	39	15	5	16	25	25	21	22
UFC1	439	112	169	204	547	490	399	437
UFD1L	160	67	91	93	341	288	192	239
UFL1	127	39	62	55	174	112	96	112
UFM1	289	88	129	138	241	212	171	215
UFSP1	2	0	2	7	6	5	3	1
UFSP2	176	35	56	52	242	118	116	119
UG0898H09	22	16	37	22	3	10	7	6
UGCG	15	3	8	6	11	10	3	12
UGDH	119	31	57	62	99	60	49	63
UGDH-AS1	573	525	876	584	179	246	213	329
UGGT1	225	136	244	162	174	168	111	147
UGGT2	101	47	57	63	93	104	67	77
UGP2	589	138	287	333	895	549	617	632
UGT1A1	0	0	0	0	0	0	0	0
UGT1A10	0	0	0	0	0	2	0	0
UGT1A3	0	0	0	0	0	0	0	0
UGT1A4	0	0	0	0	0	0	0	0
UGT1A5	0	0	0	0	0	0	0	0
UGT1A6	0	0	0	0	0	2	0	0
UGT1A7	0	0	0	0	0	0	0	0
UGT1A8	0	0	0	0	0	0	0	0
UGT1A9	0	0	0	0	0	0	0	0
UGT2A1	3	5	10	6	3	4	2	1
UGT2A2	0	0	0	0	0	0	0	0
UGT2A3	0	0	0	0	0	0	0	0
UGT2B10	0	0	0	0	0	0	0	1
UGT2B11	0	0	0	0	0	0	0	0
UGT2B15	4	5	9	6	0	1	0	1
UGT2B17	0	0	0	0	0	0	0	0
UGT2B28	0	0	0	0	0	0	0	0
UGT2B4	0	0	0	0	1	0	0	0
UGT2B7	0	0	0	0	0	0	0	0
UGT3A1	0	0	0	0	0	0	0	0
UGT3A2	0	0	0	0	0	1	0	0
UGT8	25	30	64	24	5	10	14	14
UHMK1	71	32	75	60	103	98	75	116
UHRF1	11	1	0	4	10	2	1	0
UHRF1BP1	40	14	40	26	33	10	16	24
UHRF1BP1L	53	18	17	22	59	40	25	36
UHRF2	19	9	19	3	14	11	5	8
UIMC1	30	14	27	32	25	27	17	28
ULBP1	29	12	11	10	24	16	14	14
ULBP2	42	12	14	26	24	16	14	26
ULBP3	0	0	0	0	0	1	1	0
ULK1	42	19	32	32	18	20	25	26
ULK2	36	32	55	34	19	22	13	13
ULK3	7	16	12	13	12	13	12	15
ULK4	18	36	33	29	28	10	12	12
ULK4P1	1	0	0	0	1	1	1	3
ULK4P2	0	0	1	0	1	1	1	1
ULK4P3	1	0	4	0	0	1	2	4
UMOD	0	0	0	0	0	0	0	0
UMODL1	0	0	0	0	0	0	0	0
UMPS	140	52	87	81	162	138	100	123
UNC119	27	23	13	16	43	61	32	40
UNC119B	14	9	3	8	18	8	11	11
UNC13A	10	12	16	11	5	4	2	2
UNC13B	16	7	3	5	9	8	6	6
UNC13C	0	0	0	0	0	0	0	0
UNC13D	0	0	2	0	0	1	1	0
UNC45A	46	26	26	30	93	75	35	55
UNC45B	4	8	9	10	1	1	1	0
UNC50	79	41	60	66	83	112	86	99
UNC5A	1	0	0	0	0	0	0	0
UNC5B	68	7	10	11	19	6	19	14
UNC5B-AS1	9	4	0	0	5	1	2	6
UNC5C	16	7	12	3	10	4	5	6
UNC5CL	0	0	0	0	0	0	0	0
UNC5D	0	0	0	0	0	0	0	0
UNC79	0	2	1	0	0	1	0	2
UNC80	0	0	0	0	0	0	0	0
UNC93A	0	0	0	0	0	0	0	0
UNC93B1	24	16	6	43	6	35	23	21
UNCX	0	0	0	0	0	0	0	0
UNG	23	10	21	45	26	36	30	53
UNK	13	11	13	12	18	26	11	16
UNKL	34	33	59	57	15	42	33	44
UNQ6494	0	0	0	0	0	0	0	0
UNQ6975	0	1	1	0	0	1	1	0
UOX	0	0	0	0	0	0	0	0
UPB1	0	0	0	0	0	0	0	0
UPF1	15	8	14	16	11	17	13	22
UPF2	121	62	104	113	95	95	98	94
UPF3A	173	59	57	71	223	125	104	116
UPF3B	58	24	32	27	65	80	49	73
UPK1A	0	0	0	0	0	1	0	2
UPK1A-AS1	5	10	9	12	1	2	3	2
UPK1B	4	6	8	8	2	1	4	1
UPK2	0	0	0	1	2	0	0	0
UPK3A	0	0	0	0	0	0	0	0
UPK3B	5	2	7	4	1	1	5	4
UPK3BL	66	48	68	75	77	39	41	55
UPP1	86	37	24	26	137	97	52	58
UPP2	0	0	3	0	0	0	0	1
UPRT	12	6	10	9	20	24	21	19
UQCC	96	26	46	60	100	120	91	99
UQCR10	1239	461	666	793	1631	1224	1423	1553
UQCR11	793	270	455	482	986	845	1008	1043
UQCRB	1665	640	1221	1322	1493	1665	2168	2155
UQCRBP1	170	49	169	179	101	111	195	177
UQCRC1	325	89	108	144	666	336	338	376
UQCRC2	374	130	171	245	595	492	433	609
UQCRFS1	257	81	60	163	376	308	211	411
UQCRH	856	350	497	629	979	938	951	1311
UQCRHL	578	200	354	451	521	567	591	836
UQCRQ	1850	463	869	1076	1731	1368	1948	1928
URAD	0	0	0	0	0	0	0	0
URAHP	2	0	1	2	1	4	3	0
URB1	23	28	65	72	12	28	39	125
URB2	8	6	3	4	5	6	10	9
URGCP	29	21	28	30	54	49	45	36
URGCP-MRPS24	150	38	46	63	182	104	113	125
URI1	44	15	25	11	20	26	14	16
URM1	24	7	10	8	20	15	12	21
UROC1	1	0	0	0	0	0	0	0
UROD	377	94	108	123	611	287	236	259
UROS	132	34	46	63	245	204	144	168
USB1	63	24	36	33	181	139	46	85
USE1	75	19	24	23	117	58	61	57
USF1	47	26	86	80	56	72	59	32
USF2	11	7	5	11	14	10	12	11
USH1C	0	0	0	0	0	0	0	0
USH1G	0	0	0	0	0	0	0	0
USH2A	1	0	1	0	0	0	0	0
USHBP1	0	0	0	0	0	0	0	0
USMG5	1105	276	561	710	995	672	1002	1041
USO1	222	65	98	124	303	225	187	209
USP1	108	26	44	38	141	53	60	56
USP10	118	23	40	30	175	100	53	74
USP11	42	14	12	16	46	43	27	29
USP12	11	9	6	3	4	4	10	6
USP13	23	13	31	20	16	26	3	17
USP14	112	42	35	69	142	89	35	77
USP15	105	41	148	118	114	97	92	137
USP16	181	60	63	76	230	130	112	152
USP17L10	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0
USP17L1P	0	1	0	0	0	0	0	0
USP17L2	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0
USP17L3	0	1	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0
USP17L4	0	0	2	0	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0	0	0
USP17L7	0	0	0	0	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0	0	0
USP18	4	2	7	15	7	14	15	28
USP19	3	2	4	5	1	1	2	2
USP2	0	0	1	2	0	0	0	1
USP2-AS1	1	0	2	3	5	0	2	1
USP20	11	6	23	10	27	33	7	12
USP21	6	2	2	4	3	2	1	0
USP22	159	54	88	67	131	131	81	115
USP24	21	15	20	20	6	6	7	13
USP25	21	15	7	12	8	7	6	5
USP26	0	0	0	0	0	0	0	0
USP27X	4	2	4	1	4	7	6	5
USP27X-AS1	1	0	2	0	3	2	1	0
USP28	39	22	32	27	42	40	13	27
USP29	6	3	7	3	3	0	0	2
USP3	123	54	113	73	82	54	55	59
USP3-AS1	0	2	0	3	1	2	2	0
USP30	7	4	3	4	7	7	5	10
USP30-AS1	1	0	0	0	1	0	0	2
USP31	19	7	14	6	12	15	3	10
USP32	32	23	24	26	15	15	18	15
USP32P1	31	33	19	24	1	4	6	4
USP32P2	40	15	35	21	6	13	6	4
USP33	227	214	418	374	166	257	233	275
USP34	210	72	121	93	101	86	73	74
USP35	3	1	2	0	1	0	1	1
USP36	9	4	8	12	10	5	6	4
USP37	39	14	27	5	27	27	11	16
USP38	13	7	8	5	7	7	2	16
USP39	60	21	23	37	133	81	60	72
USP4	161	82	149	112	228	152	105	100
USP40	110	40	65	57	116	102	55	63
USP42	8	2	6	11	6	5	4	6
USP43	0	0	0	3	2	0	0	0
USP44	3	0	1	2	0	2	0	1
USP45	22	34	19	15	19	25	15	18
USP46	37	37	46	52	55	36	26	33
USP47	105	38	45	43	197	84	62	85
USP48	137	56	41	61	219	112	75	91
USP49	25	21	34	25	24	6	3	10
USP5	13	3	4	14	8	7	4	10
USP50	0	1	2	0	0	1	0	0
USP51	2	1	2	2	2	4	0	1
USP53	15	101	197	186	16	132	160	210
USP54	25	14	40	15	11	8	13	6
USP6	7	8	12	15	3	4	2	3
USP6NL	5	1	0	7	11	2	2	5
USP7	163	56	74	65	233	184	99	118
USP8	450	183	345	282	714	648	573	506
USP9X	394	134	124	194	356	246	158	229
USP9Y	2	0	3	1	1	1	0	2
USPL1	25	11	20	6	19	13	16	21
UST	9	11	13	10	9	8	3	5
UTF1	0	0	0	0	0	0	0	0
UTP11L	284	71	122	113	403	214	207	219
UTP14A	143	39	66	64	155	184	118	133
UTP14C	115	52	91	89	123	152	106	121
UTP15	35	22	33	37	58	46	21	47
UTP18	63	21	26	18	69	59	39	32
UTP20	39	26	33	26	37	34	14	18
UTP23	78	58	72	86	121	138	112	116
UTP3	33	22	23	16	57	45	37	53
UTP6	128	54	73	63	162	153	88	98
UTRN	102	46	81	58	104	76	57	87
UTS2	0	0	0	0	0	0	0	0
UTS2B	10	6	10	10	4	6	5	8
UTS2R	0	0	0	0	0	0	0	0
UTY	41	40	58	42	17	17	24	13
UVRAG	35	22	10	44	43	28	3	36
UVSSA	40	37	55	45	13	20	11	20
UXS1	33	9	9	15	41	34	30	20
UXT	340	103	141	98	405	373	294	264
VAC14	16	2	2	5	12	14	9	3
VAC14-AS1	7	14	10	12	5	4	7	3
VAMP1	7	4	9	14	13	17	11	14
VAMP2	5	4	8	8	15	9	10	11
VAMP3	314	125	141	138	426	487	264	371
VAMP4	28	11	15	9	31	32	15	19
VAMP5	167	34	44	37	183	153	108	78
VAMP7	85	24	25	33	130	125	44	79
VAMP8	3	6	0	1	2	9	4	6
VANGL1	42	18	14	17	20	24	14	30
VANGL2	1	0	0	1	0	0	0	0
VAPA	275	115	151	177	280	323	223	213
VAPB	26	10	11	20	20	16	11	13
VARS	25	5	6	14	43	22	7	14
VARS2	18	1	5	9	4	5	4	8
VASH1	10	4	5	6	4	4	0	4
VASH2	1	2	3	0	0	0	0	0
VASN	30	6	6	17	20	20	16	11
VASP	35	5	14	2	29	11	12	13
VAT1	337	54	39	36	434	192	59	87
VAT1L	0	0	0	0	11	0	2	0
VAV1	0	0	0	0	0	0	0	0
VAV2	9	2	4	3	4	6	5	6
VAV3	0	0	0	0	0	0	0	0
VAV3-AS1	0	0	0	0	0	0	0	0
VAX1	3	2	1	1	0	0	1	0
VAX2	1	0	0	2	2	0	3	2
VBP1	133	47	66	64	183	143	100	145
VCAM1	0	0	1	5	1	0	0	4
VCAN	1578	239	424	270	1510	541	594	582
VCL	434	137	227	221	406	338	226	308
VCP	165	35	86	115	333	241	145	218
VCPIP1	19	13	17	22	20	19	25	12
VCX	0	0	0	0	0	0	0	0
VCX2	0	0	0	0	0	0	0	0
VCX3A	0	0	0	0	0	0	0	0
VCX3B	0	0	0	0	0	0	0	0
VCY	0	0	0	0	0	0	0	0
VCY1B	0	0	0	0	0	0	0	0
VDAC1	608	143	269	309	945	687	583	686
VDAC2	432	117	159	219	673	479	354	526
VDAC3	295	110	131	182	530	406	339	430
VDR	52	34	93	38	43	29	35	32
VEGFA	0	0	0	0	0	0	0	0
VEGFB	17	14	24	11	19	20	15	24
VEGFC	19	12	30	20	15	52	44	57
VENTX	13	27	27	17	11	10	9	12
VENTXP1	0	0	0	1	0	0	0	0
VENTXP7	0	0	0	0	0	0	0	0
VEPH1	50	9	13	4	101	25	7	22
VEZF1	44	24	20	18	38	77	36	35
VEZT	87	27	46	55	106	66	45	60
VGF	0	0	0	0	0	0	0	0
VGLL1	0	0	0	0	0	0	0	0
VGLL2	0	1	0	0	0	0	0	0
VGLL3	126	112	173	103	44	96	81	95
VGLL4	82	31	47	48	79	146	107	83
VHL	165	119	211	145	140	109	94	104
VHLL	4	4	7	5	1	0	0	2
VIL1	0	0	0	0	0	0	0	0
VILL	3	1	3	4	9	4	4	5
VIM	8158	1333	1593	1820	16714	6087	3485	4681
VIMP	373	159	241	251	374	330	353	342
VIP	0	0	0	0	0	0	0	0
VIPAS39	40	19	19	22	80	58	40	33
VIPR1	0	0	0	0	0	0	0	0
VIPR2	4	4	11	0	2	1	0	3
VIT	1	13	28	65	0	26	55	92
VKORC1	1394	450	724	749	2218	1851	1628	1835
VKORC1L1	9	7	14	31	7	11	26	59
VLDLR	12	2	16	16	4	1	5	15
VMA21	112	51	82	78	62	75	65	64
VMAC	12	13	14	15	8	6	7	5
VMO1	2	4	3	2	0	12	8	8
VMP1	524	340	583	526	402	480	446	347
VN1R1	0	0	0	3	0	0	0	0
VN1R10P	1	1	0	0	0	0	0	0
VN1R2	4	3	4	5	1	4	2	1
VN1R4	0	0	0	0	0	0	0	0
VN1R5	0	0	0	0	0	0	0	0
VNN1	0	0	0	0	0	0	1	1
VNN2	0	0	0	0	0	0	0	0
VNN3	0	0	0	0	0	0	0	0
VOPP1	72	24	35	27	65	49	56	37
VPRBP	7	2	3	5	17	3	5	5
VPREB1	0	0	0	0	0	0	0	0
VPREB3	0	0	0	0	0	0	0	0
VPS11	67	14	21	24	105	57	21	59
VPS13A	49	20	33	23	17	18	9	14
VPS13A-AS1	3	2	3	3	1	0	0	1
VPS13B	60	51	80	73	37	48	29	29
VPS13C	177	144	176	141	121	161	112	118
VPS13D	29	33	40	35	13	42	22	30
VPS16	70	17	33	37	109	85	52	79
VPS18	12	4	15	16	38	50	32	26
VPS25	352	129	162	192	483	461	388	415
VPS26A	119	36	51	82	119	148	78	134
VPS26B	111	39	49	56	226	181	115	130
VPS28	521	154	170	204	792	467	363	461
VPS29	329	76	141	126	349	229	250	236
VPS33A	34	26	37	30	47	32	24	32
VPS33B	15	7	5	9	19	10	15	9
VPS35	487	114	136	128	865	515	285	336
VPS36	216	87	100	125	213	168	138	138
VPS37A	54	30	16	29	60	64	29	43
VPS37B	5	1	0	1	1	3	1	0
VPS37C	3	1	1	0	1	0	1	2
VPS37D	0	0	1	0	0	0	0	0
VPS39	314	174	224	253	456	504	295	386
VPS41	107	40	52	41	127	105	58	68
VPS45	57	17	19	34	112	55	28	54
VPS4A	42	5	31	25	37	34	25	46
VPS4B	226	113	140	166	193	235	170	172
VPS51	38	14	6	16	85	58	25	38
VPS52	44	13	25	18	83	36	14	29
VPS53	141	89	187	114	116	110	82	94
VPS54	14	7	11	4	5	3	3	9
VPS72	40	16	16	22	38	32	25	34
VPS8	36	17	24	30	32	35	29	19
VPS9D1	5	3	15	8	4	5	4	7
VRK1	28	16	23	20	42	46	35	25
VRK2	114	18	25	17	90	49	34	40
VRK3	70	20	33	15	94	88	53	67
VRTN	4	4	13	6	0	2	0	4
VSIG1	49	46	87	65	20	16	19	12
VSIG10	22	12	18	22	13	13	14	14
VSIG10L	1	1	1	0	2	6	1	4
VSIG2	0	0	0	0	0	0	0	0
VSIG4	0	0	0	0	0	0	0	0
VSIG8	0	0	0	0	0	0	0	0
VSNL1	0	1	0	0	3	0	0	0
VSTM1	0	0	0	0	0	0	0	0
VSTM2A	0	0	0	0	0	0	0	0
VSTM2B	0	0	0	0	0	0	0	0
VSTM2L	0	0	1	1	0	1	0	0
VSTM4	35	37	54	41	20	35	11	23
VSTM5	0	0	0	0	0	0	0	0
VSX1	6	2	5	6	4	2	1	2
VSX2	0	0	0	0	0	0	0	0
VTA1	119	43	43	54	161	132	58	104
VTCN1	1	0	0	1	0	0	0	0
VTI1A	62	17	28	23	58	43	32	47
VTI1B	91	19	57	54	139	87	119	155
VTN	0	1	3	0	0	2	3	3
VTRNA1-1	0	0	0	0	0	0	0	0
VTRNA1-2	0	0	0	0	0	0	0	0
VTRNA1-3	0	0	0	0	0	0	0	0
VTRNA2-1	0	0	0	0	0	0	0	0
VWA1	0	0	0	3	4	1	1	0
VWA2	36	39	67	40	14	11	13	20
VWA3A	0	1	0	0	0	0	0	0
VWA3B	0	0	0	0	0	0	0	0
VWA5A	3	5	4	2	15	9	1	10
VWA5B1	0	0	0	0	0	0	0	0
VWA5B2	0	0	0	0	0	0	0	0
VWA7	0	0	0	0	0	0	0	0
VWA8	17	4	13	11	7	5	4	10
VWA8-AS1	0	0	0	0	0	0	0	0
VWA9	72	25	31	32	80	55	37	51
VWC2	0	0	0	0	0	0	0	0
VWC2L	0	0	0	0	0	0	0	0
VWC2L-IT1	0	0	0	0	0	0	0	0
VWCE	6	4	2	6	1	7	7	11
VWDE	0	0	0	0	0	0	1	0
VWF	0	0	0	0	0	0	0	0
WAC	131	65	84	69	168	113	92	119
WAC-AS1	193	82	106	99	208	150	117	146
WAPAL	155	43	39	75	231	134	73	111
WARS	1599	98	107	97	3517	449	272	337
WARS2	41	16	20	23	61	51	35	54
WAS	0	0	0	0	0	1	0	2
WASF1	10	5	14	5	11	10	1	5
WASF2	310	109	143	165	535	369	314	394
WASF3	20	19	37	44	9	29	26	35
WASH1	13	12	8	10	12	5	7	9
WASH2P	19	15	12	10	13	9	9	12
WASH3P	23	26	13	13	15	9	13	14
WASH5P	0	2	2	1	3	0	1	0
WASH7P	16	12	16	7	6	9	9	11
